idiom,sentence,gold translation
چهارچشمی کسی یا چیزی را پاییدن,"هیچ کاری نمی شد کرد همسایه ها دایم ما را چارچشمی می پاییدند و همه ی رفت وامدهایمان را زیر نظر داشتند","There was nothing we could do; the neighbors were constantly watching us very closely and monitoring all our comings and goings."
ابتدابه ساکن,"چنین موضوعی را ابتدا به ساکن  نمی توان مطرح کرد اول باید مقدمه اورد و بعد وارد موضوع شد","You can't bring up such a topic right off the bat. First, you need to provide an introduction then the main issue."
ساختن خود,"خیلی گرسنه ام میخوام برم جیگرکی خودم رو بسازم","I'm very hungry, I want to go to the liver shop and treat myself."
برو بکس,"بیا بریم اونجا که بر و بکس جمعند","Let's go where the gang is all gathered."
پایه بودن,"پایه ای یک مهمانی خوب بگیریم و همه را دعوت کنیم؟","Are you up for throwing a good party and inviting everyone?"
دست از پا درازتر,"به خودش قول داده بود که در امارات کار می کند و با جیب پر از پول نزد خانواده اش برمی گردد اما بعد از یک سال با جیب خالی و دست از پا درازتر برگشت","He had promised himself that he would work in the UAE and return to his family with pockets full of money, but after a year, he came back empty-handed and unsuccessful"
اب کسی با دیگری توی یک جوب رفتن,"من نمی توانم با برادرم کار کنم اب مان توی یک جوی نمی رود","I can't work with my brother; we don't get along."
صاف و پوست کنده,"باید صاف وپوست کنده به شما بگویم که پولی دربین نیست ان مرحوم همه را خرج کرد و برای ما چیزی جز بدهی باقی نگذاشت","To be honest with you, there is no money left. The deceased spent all of it, leaving us nothing but debt."
دل از دست دادن,"همین که چشمش به دختر افتاد دل از دست داد","As soon as he saw the girl, he fell in love."
دستم به دامنت,"اقای قاضی دستم به دامنتان به این بچه ها رحم کنید","Your Honor, I beg you, please have mercy on these children."
یک روده ی راست توی شکم کسی نبودن,"به حرف های این ادم به هیچ وجه نمی شه اطمینان کرد یک روده ی راست توی شکمش پیدا نمی شه","You can't trust a word this person says; he is a total liar."
سپر بلا,"ان زن خودش را سپر بلای بچه ها کرد و گفت: اگر می خواهی بزنی باید من را بزنی","The woman shielded the children and said: If you want to hit someone, you'll have to hit me."
ورجه وورجه کردن,"از بس بچه هایش ورجه وورجه می کردند همسایه ها ناراضی بودند","The neighbors were displeased by how much noise her children were making."
از اینجا رانده و از انجا مانده,"می خواست هر دو نفر را داشته باشد و با هردو لاس می زد اما حالا از اینجا رانده و از انجا مانده است","He wanted to have both of them and flirted with both of them, but now he's lost both options."
جا سویچی,"این هم که هرجا میریم میخواد بیاد و هرکاری میکنیم میخواد بکنه مثل جاسویچیه","Everywhere we go, he wants to come along, and everything we do, he wants to do too; he's acts like a stalker."
چراغ سبز نشان دادن,"مدیر مالی شرکت نفتی توتال پیش از امضای قرارداد گاز با ایران٬برای امضای قرارداد به ما چراغ سبز نشان داد","Before signing the gas contract with Iran, the CFO of Total gave us the green light to proceed with the agreement."
خود را به اب و اتش زدن,"برای نجات پسرش خودش را به اب و اتش زد و همه ی اموالش را فروخت تا پول وکیل ها را بدهد","He risked everything to save his son and sold all his belongings to pay for the lawyers."
بیروبار,"در شهر های بزرگ بیروبار زیاد است","There is a lot of hustle in big cities."
جا باز کردن,"در اولین سال تدریس در ان شهر به کلی تنها بود اما بعد جای خودش را باز کرد","In his first year of teaching in that city, he was completely alone, but eventually, he found his place."
هپلی,"هپلی برو دستاتو بشور","Go wash your hands, you're filthy."
شریک دزد و رفیق قافله,"گول ظاهر اراسته و حرف های دوستانه ی این گروه ها را نباید خورد این ها شریک دزد و رفیق قافله اند","Do not be fooled by the neat appearance and friendly words of these groups; they appear supportive but actually collaborate with the enemies."
استخوان لای زخم,"مسئله ی ملیت ها در ایران استخوان لای زخم است","The issue of nationalities in Iran is an unresolved problem that will reemerge."
فال بد زدن,"این قدر فال بد نزن از کجا می دانی که اتفاق بدی افتاده","Stop predicting bad things; how do you know something bad has happened?"
به چاه افتادن,"کسی که برای دیگران چاه بکند خودش به چاه می افتد","Someone who creates trouble for others will end up in trouble themselves."
پا پس کشیدن,"همین که قیمت ها شروع به تنزل کردند از معامله ی بورس پا پس کشیدم و از ورشکستگی نجات پیدا کردم","As soon as the prices started to fall, I backed out of the stock market and saved myself from bankruptcy."
دل کسی برای چیزی غنج زدن,"وقتی از جلوی چلوکبابی رد می شدیم از نگاهش فهمیدم که دلش برای خوردن یک چلوکباب مفصل غنج می زند اما غرورش اجازه نمی داد که دعوت مرا بپذیرد","When we passed by the kebab restaurant, I could tell that he was very eager to have a hearty kebab, but his pride wouldn't let him accept my invitation."
به بار اوردن,"سیل ان سال خسارت زیادی به بار اورد","The flood that year caused a lot of damage."
باریک تر از مو,"در گفته های او نکته های باریک تر از مو هست","There are points in his words that are very delicate and precise."
اب دوغ خیاری,"هروقت می رم خونه شون همه پای تلویزیون نشسته ان و دارن یکی از این فیلم های اب دوغ خیاری رو تماشا می کنن","Every time I go to their house, everyone is sitting in front of the TV watching one of those low-quality movies."
از این شاخه به ان شاخه پریدن,"من که از درس این استاد چیزی نمی فهمم دایم از این شاخه به اون شاخه می پره و هیچ وقت یک موضوع رو تا اخر دنبال نمی کنه","I can't understand anything from this teacher's lessons; he constantly jumps from one topic to another and never follows through on a single subject."
به جایی رسیدن,"اگر می خواهی به جایی برسی باید درس بخوانی","If you want to be successful, you need to study."
افتاب لب بام,"ما دیگر افتاب لب بامیم جوان ها باید به فکر زندگی خودشان باشند و نباید وقت و نیرویشان را صرف ما بکنند","Our lives are coming to an end; the young should focus on their own lives and not spend their time and energy on us."
سابقه داشتن,"کسی که به هوای اینجا سابقه داشته باشد همیشه لباس گرم با خودش همراه برمی دارد","Anyone familiar with the climate here always brings warm clothing with them."
خاصه خرجی,"کسی هم نبود مثل حاجی واسم از این خاصه خرجی ها بکنه","There was no one like Haji to make these extravagant expenses for me."
از چاله به چاه افتادن,"به سختی با طرف معامله صلح کردم اما بلافاصله به بلای مالیات و اداره ی دارایی دچار شدم از چاله درامدم و به چاه افتادم","With great effort, I settled the deal peacefully, but immediately encountered tax problems with the revenue office and found myself in even more trouble."
به زانو درامدن,"قهرمان جهان در برابر این ورزشکار نورسیده به زانو درامد","The world champion was defeated by this inexperienced athlete."
اشک تمساح ریختن,"همه ی این جنایت ها را خودشان مخفیانه برنامه ریزی می کنند و بعد هم جلوی مردم اشک تمساح می ریزند","They secretly plan all these crimes and then shed crocodile tears of people."
اب و روغن قاطی کردن,"الان اب وروغن قاطی کرده و نمی شه باهاش حرف زد یک ساعت دیگه حالش خوب میشه","He's really angry right now and can’t be talked to; he'll calm down in an hour."
لاو ترکاندن,"اون دختر و پسر رو ببین چه لاوی می ترکونن","Look at how that boy and girl are showing their love for each other."
پاپوش دوختن,"او اهل سازش نبود و می خواست با تمام نیرو با فساد مبارزه کند اما این را نمیدانست که برایش پاپوش می دوزند و به زندانش می اندازند","He was not one to compromise and wanted to fight corruption with all his might, but he hadn't anticipated that they would conspire against him and send him to prison."
چوب لای چرخ گذاشتن,"من که تا حالا بین کارمندهای دولت کسی را ندیده ام که کار مردم را انجام دهد مثل اینکه به اینها فقط برای این حقوق می دهند که چوب لای چرخ بگذارند","I have never seen a government employee who actually helps people get their work done. It seems like they’re only paid to put obstacles in people’s way."
گوش به زنگ بودن,"فخری نشست روبه روی اینه گوش به زنگ کمترین صدای پای اتاق بالایی","Fakhri sat facing the mirror, closely listening for the slightest sound of footsteps from the room upstairs."
کاتولیک تر از پاپ,"حالا دیگه خانم برای ما فمینیست شده و تا از راه می رسه شروع میکنه به دفاع کردن از عقایدش در حالی که فمینیست های واقعی اینقدر تظاهر نمی کنن اینو می گن کاتولیک تر از پاپ شدن","Now she claims to be a feminist and starts defending her beliefs as soon as she arrives, even though real feminists don't show off like that. She's taking it more seriously than the actual feminists."
پا پیش گذاشتن,"گفتم این پسر کسی را ندارد شما باید پا پیش بگذارید و زنی برایش پیدا کنید","I said this boy has no one; you have to take the initiative and find him a wife."
سر صحبت را باز کردن,"هرچه تلاش کردم تا شاید سر صحبت را او باز کنم فایده ای نداشت","No matter how much I tried to get him to start the conversation, it was of no use."
بی مایه فطیر است,"اگر بخواهی کارها انجام شوند باید پول خرج کنی چون بی مایه فطیر است","If you want things to be done, you must spend money. Without capital, it is futile."
از اب گل الود ماهی گرفتن,"مردم را بر علیه یکدیگر میکنند و از اب گل الود ماهی می گیرند","They pit people against each other and take advantage of the chaos for their own gain."
حاجی حاجی مکه,"روی این ادم اصلا نمی شه حساب کرد الان رابطه اش باهات خوبه و هر روز به دیدنت می اد اما یک باره حاجی حاجی مکه و غیبش می زنه","You can't count on this person at all. Right now, their relationship with you seems fine, and they visit you every day. But suddenly, they disappear without a trace."
یک الف بچه,"یک الف بچه بود که پدرش مرد و مسئولیت خانواده را به عهده گرفت","He was just a kid when his father passed away, and the responsibility of the family fell on his shoulders."
اب خنک خوردن,"پسرجون دست از این کارها بردار اگه گیر بیفتی باید پنج شیش سال اب خنک بخوری","Son, stop engaging in these activities. If you get caught, you'll have to spend five or six years in jail."
اب از اب تکان نخوردن,"خیال کرد اوضاع خیلی بهم ریخته شده است ولی اب از اب نجنبیده بود","He thought the situation had become dire, but everything was peaceful."
زاقارت,"این لباست خیلی زاقارته","Your outfit is very unfashionable."
به خاک سیاه نشستن,"کاسبی خوبی داشت اما از وقتی بیمار شد به تدریج همه چیز خود را از دست داد و همه ی خانواده به خاک سیاه نشست","He used to have a thriving business, but ever since he fell ill, he gradually lost everything, and his whole family became poor."
پااندازی,"اسمش را عوض کرده اند و ان را شرعي میدانند اما درواقع همان پااندازی است","They have changed its name and consider it legitimate, but in reality, it is still the same old trick."
با دم شیر بازی کردن,"پسر جان با دم شیر بازی نکن سیاست کار خطرناکی است","Son, don't engage in dangerous activities. Politics is dangerous."
سر عقل امدن,"نگران نباشید همه ی جوان ها همین طورند اما کمی که سنشان بالا می رود خودشان سر عقل می ایند و زندگی شان را می کنند","Don't worry, all young people are like that, but as they get older, they become sensible and live their lives."
به سیم اخر زدن,"هرچه دم دهانش امد به انها گفت دیگر به سیم اخر زده بود و فکر عاقبت کار را نمی کرد","He told them whatever came to his mind; he was speaking recklessly and no longer cared about the consequences of his actions."
تعارف شاه عبدالعظیمی,"این دوست شما هم اینقدر تعارف های شاه عبدالعظیمی می کنه که حال ادمو به هم می زنه","Your friend makes so many over-the-top compliments that it becomes unbearable."
چپ نگاه کردن به کسی,"از ترس برادرش کسی جرات نداشت به او چپ نگاه کند","Out of fear of his brother, no one dared to show any hostility towards him."
خود را به کوچه ی علی چپ زدن,"چرا خودت را به کوچه ی علی چپ می زنی؟ رک بگو که می خواهی در این کار شرکت داشته باشی یا نه","Why are you pretending that you don't know anything? Be straightforward and tell me if you want to participate in this or not."
ابرو امدن,"اگر دلتان بخواهد برایتان با عشوه می رقصم و ابرو می اندازم","If you desire, I will dance flirtatiously for you and raise my eyebrows."
تعارف تیکه پاره کردن,"کارین با اون لهجه ی انگلیسیش می گفت: ایرونیا استاد تعارف تیکه پاره کردن هستن و توی دنیا لنگه ندارن.","Karin, in her signature English accent, said: Iranians are masters at giving over-the-top compliments and are unmatched in the world."
خرکیف شدن,"چندتا پیک مشروب خورده بود و حسابی خرکیف شده بود","he had drunk a few glesses of wine and was extremely happy."
سال به سال دریغ از پارسال,"دایم در روزنامه ها می نویسند که قیمت ها نوسان دارند یعنی بالا و پایین می روند اما ما که تابه حال یک بار هم ندیدیم قیمت چیزی پایین بیاید برعکس قیمت همه چیز هرروز بالاتر می رود سال به سال دریغ از پارسال","they constantly write in newspapers that prices fluctuate, meaning they go up and down, but we have never seen the price of anything drop. on the contrary, the price of everything goes higher every day. It’s just getting worst and worst."
تومنی هفت صنار فرق داشتن,"ما جنس بی کیفیت نمی فروشیم جنس های ما تومنی هفت صنار با این محصولات ساخت چین فرق داره","we don't sell low quality goods. Our products are very different than the products made in china."
با پنبه سر بریدن,"ادم های حیله گر با پنبه سرشان را می بریدند","Cunning individuals hurt people with gentleness and sweet words."
ور رفتن به خود,"برای اولین بار متوجه شدم که کمی به خودش ور رفته و واقعا هم خوشگل شده بود","For the first time, i realized that she had put on some make up and had become really beautiful."
در باغ سبز نشان دادن,"بررسی عملکردها نشان می دهد که مسئولان فقط در باغ سبز نشان می دهند و در عمل اقدامی نمی کنند","An analysis of the performance shows that the authorities only offer empty promises and take no real action."
طاقچه بالا گذاشتن,"حالا که به هدفش رسیده است به ما بی محلی میکند و طاقچه بالا می گذارد","now that he has achieved his goal, he is ignoring us and behaving arrogantly."
گذر پوست به دباغ خانه می افتد,"از زمانی که موقعیتی پیدا کرده همه ی دوستی های سابق را فراموش کرده و به کسی اعتنا نمی کند اما بالاخره گذر پوست بالاخره به دباغ خانه می افتد","ever since he got the position, he's forgotten all about his old friends and doesn't care about anyone. but eventually, he'll need us again."
به هر دری زدن,"زن بیچاره به هر دری می زد بلکه خبری از پسر گمشده اش بیابد","the poor woman was making every possible effort to get some news about her lost son."
پای هم پیر شدن,"عروس و داماد برازنده ای هستند امیدوارم پای هم پیر شوند","the bride and groom are a fitting pair. I hope they grow old together."
سر از پا نشناختن,"از وقتی پدرش با ازدواج شان موافقت کرده دیگر سر از پا نمی شناسد","ever since her father agreed to their marriage, she's been very excited."
اب غوره گرفتن,"ناراحتی و اب غوره گرفتن فایده ای ندارد باید فکری بکنیم که از این مخمصه رهایی پیدا کنیم","getting upset and crying won't help, we need to think about how to get out of this predicament."
ماست ها را کیسه کردن,"یک نگاه خشم الودش کافی بود که همه ی قلدر های محله ماست ها را کیسه کنند","one angry look from him was enough to make all the local bullies back down."
روی سگ کسی بالا امدن,"حاجی منافعش را زود فراموش می کرد اما اگر زیانی متوجه او می شد قیافه ی بی گناهش عوض می شد و ان روی سگش بالا می امد","haji would quickly forgot about his own benefits, but if he suffered any loss, his innocent face would change and he would become extremely angry."
به دست وپا افتادن,"همان هایی که طرفدار شاه بودند و تظاهر به وفاداری می کردند همین که حس کردند قدرت او درحال فروپاشی است به دست وپا افتادند تا راه فراری پیدا کنند و پول هایشان را به خارج انتقال دهند","the very people who were supporting shah and pretended to be loyal, scrambled to find a way out and transfer their money abroad as soon as they sensed his power was waning."
بال دراوردن,"وقتی خبر سلامتی اش را به من دادند داشتم از خوشحالی بال درمی اوردم","when they told me he was healthy, i became extremely happy."
نان را به نرخ روز خوردن,"خنده های بانمک و مخصوصا پررویی را یاد بگیر در دوره ی ما این جور چیزها رواج نداشت. نان را به نرخ روز باید خورد","Learn how to make charming smiles and, especially, how to be bold—such things weren’t common in our time. You must adapt to the times."
دندان روی جگر گذاشتن,"اخر تا کی دندان روی جگر بگذارم و حرفی نزنم هیچ کس نمی داند من در چه شرایط سختی هستم","For how long should I be patient and stay silent? no one knows the difficult situation i'm in."
به نعل و به میخ زدن,"خواهش می کنم به نعل و به میخ نزنید و صریح بگوئید هدفتان از این ملاقات چیست","please don't beat around the bush and tell me directly what your goal is from this meeting."
هفت خط بودن,"طرف از اون هفت خط ها بود باید تمام حواسم را جمع می کردم که مرا گول نزند","the guy was quite cunning, i had to be completely alert so he wouldn't deceive me."
استخوان لای زخم گذاشتن,"این موضوع باید به طور کامل حل شود استخوان لای زخم گذاشتن فایده ای ندارد","this issue needs to be fully resolved, ignoring the problem won't help."
اسیاب به نوبت,"دوست عزیز اینجا چند نفر جلوتر از شما نوبت گرفته اند اسیاب به نوبت","dear friend, there are a few people ahead of you in line, everyone must wait for their turn."
پادرمیانی کردن,"این دختر و پسر از سال ها پیش به هم علاقه دارند بالاخره یکی از پیرمردهای خانواده باید پادرمیانی کند تا پدر دختر رضایت بدهد و این دوتا باهم باشند.","this girl and boy have been in love for years, ultimately, one of the elders in the family should mediate to get the girl's father's consent, so these two can be together."
یک من ماست چه قدر کره دارد,"در جمع رفقا حرف زدن راحته اگر جرأت داری برو توی خیابون شعار بده تا بفهمی یک من ماست چه قدر کره داره","speaking out is easy among friends; if you think it's true, go and protest on the street in order to realize how difficult it is in reality."
دل خود را خالی کردن,"بسیاری از انسان ها کسی را برای حرف زدن ندارند و فقط برای خالی کردن دل خود پیش این روانکاوهای فریب کار می روند","Many people have no one to talk to and only go to these deceptive therapists to speak freely about their emotions."
اب بر اتش زدن,"با گفتن چند جمله ابی بر اتش مرد خشمگین زد و او را از ان تصمیم منصرف کرد","‌He calmed him down by saying a few words and dissuaded him from that decision."
به ابدیت پیوستن,"استاد محمداصفهانی اخرین نماینده ی نسل مشروطه خواهان به ابدیت پیوست","master mohammad esfahani, the last representative of the constitutional generation, has passed away."
صد تا یک غاز,"درس بخونم که چی که اخرش برم مثل بابام کارمند بشم و یک عمر قلم صد تا یه غاز بزنم و همیشه بی پول باشم","what's the point of studying if in the end i just become an employee like my father, working a worthless job all my life, and always be poor?"
اسم خود را عوض کردن,"اگر او در کنکور دانشگاه قبول شود من اسمم را عوض می کنم","I think it is not possible for him to be accepted in the university entrance exam."
خر کریم را نعل کردن,"اگر بخوای کارت انجام بشه باید خر کریمو نعل کنی وگرنه توی این اداره ها خیلی معطل میشی.","If you want your work to get done, you have to bribe your way through; otherwise, you'll be stuck waiting forever in these offices."
موش دواندن,"خانواده ی شوهر انقدر موش دواندند تا میان انها اختلاف ایجاد شد","the husband's family conspired so much until discord was created between them."
پای خود را کنار کشیدن,"تا دیدم شرایط دارد خطرناک میشود پای خودم را کنار کشیدم","when i saw the situation was getting dangerous, i stepped back."
زاغ سیاه کسی را چوب زدن,"ان قدر زاغ سیاهشان را چوب زدم تا انها را حین ارتكاب جرم دستگیر کردم","i watched them closely until i caught them while committing the crime."
تعارف تکه پاره کردن,"دوتا اقای شیک پوش انجا ایستاده بودند و با صدای بلند با هم تعارف تکه پاره می کردند","two stylish gentlemen were standing there, exchanging exaggerated compliments with each other out loud."
از اب کره گرفتن,"حاجی از بچگی پیش دکاندارها و تاجرهای متعددی کار کرده و کاسبی را یاد گرفته بود معروف بود که از اب کره می گیرد","hajji had been working with numerous shopkeepers and traders since childhood and had learned the trade. he was well-known for always turning every situation to his advantage."
وعده ی سر خرمن,"و یک نفر از ان فروشنده های طمع کار بازار می خواست ان اشیا را به قیمت کم ان هم قسطی و به وعده ی سر خرمن از انها بگیرد","And one of the greedy vendors in the market wanted to buy those items from them at a low price, on installment, with payment postponed to an indefinite future."
کف کسی بریدن,"قیمتش رو بفهمی کفت می بره","if you find out its price, you will be very surprised."
سبیل کسی را چرب کردن,"بازرس اداره ی بهداشت نگاهی سطحی به اشپزخانه و دستشویی انداخت و با رضایت خداحافظی کرد و رفت واضح بود که صاحب رستوران سبیلش را چرب کرده بود","the health department inspector took a cursory look at the kitchen and bathroom, bid farewell with satisfaction, and left. it was clear that the restaurant owner had bribed him."
چاقوی بی دسته,"این حرف ها همه چاقوی بی دسته اند باور نکنید","all these words are baseless lies, don't believe them."
راست راست راه رفتن,"از وقتی که می شناسمش داره راست راست راه می ره و هیچ کاری نمی کنه","since i've known him, he's been meandering without doing any work."
ریز دیدن,"تو جرات این کار هارو نداری خیلی ریز می بینمت","you don't dare to do these things, you're insignificant to me."
دست از پا خطا کردن,"در ان زمان مردم فقط از ترس دست از پا خطا نمی کردند","in those days, people were just too afraid to make the slightest mistake."
نمک نشناس بودن,"این شخص ادم نمک نشناسی است ببین در برابر ان همه محبت های من چه رفتاری می کند خودش همیشه می گفت که هرگونه انتقادی را می پذیرد اما همین که انتقاد ملایمی به او کردم با من مخالفت کرد","this person is ungrateful, look at how they act despite all my kindness. they always claimed that they would accept any kind of criticism, but the moment i slightly cirticized them, they objected."
ادم یک دنده,"این اقا آدم یک دنده ای است می خواهد به رغم نظر منفی همه ی کارشناسان طرح خودش را به اجرا بگذارد","this man is a stubborn person. despite the negative opinions of all the experts, he wants to implement his own plan."
اشی برای کسی پختن که یک وجب روغن رویش باشد,"اون فکر کرده می تونه هر کاری که دلش می خواد با من بکنه ولی یه اشی براش بپزم که یه وجب روغن روش باشه","he thinks he can do whatever he wants with me, but I'll make a plan for him that will bring trouble for him"
تنها به قاضی رفتن,"همچین تنها به قاضی نرو تا ان مرحوم زنده بود با او دشمن بودی حالا یهو برات عزیز شد","Don't just serve your own interests, you were always an enemy of that poor person when he was alive, and now all of sudden he has become dear to you."
مشت کسی را باز کردن,"عتیقه فروشی پوشش خوبی برای معامله های پنهانی او بود و همه او را کاسب محترمی می شناختند تا اینکه یک کاراگاه زیرک با تعقیب مداوم و گرد اوری مدارک انکارناپذیر مشتش را باز کرد","the antique shop was a good cover for his secret dealings, and everyone knew him as a respectable tradesman until a shrewd detective, through persistent tracking and gathering undeniable evidence, exposed his lies."
راه باز و جاده دراز,"اینقدر تهدید نکن که می ذارم و می رم راه بازه و جاده دراز","don't threaten me so much with leaving, I don't care if you leave."
جای خود داشتن,"البته این نکته جای خود دارد اما هدف اصلی هر بنگاه اقتصادی کسب سود است","of course, this point is considerable, but the main goal of any economic firm is to make a profit."
پای کسی بودن,"“به صاحب کارگاه گفت “شما نگران قیمت ها نباشید هزینه ش پای من","He told the owner of the workshop “don’t to worry about the prices, I will pay all the costs.”"
با دست پس زدن با پا پیش کشیدن,"او در ظاهر پست معاونت را رد کرده اما کسانی که او را می شناسند می دانند که مثل همیشه با دست پس می زند و با پا پیش می کشد","he outwardly rejected the deputy position, but those who know him understand that as usual, he rejects things overtly while coveting it secretly"
