idiom,sentence,gold translation
bite the dust,"But Stone Bassett bit the dust, the case against the development was taken up by some of the highest paid planners in the land.","اما استون باست شکست خورد، پرونده علیه توسعه توسط تعدادی از پردرآمدترین برنامه ریزان آنجا بر عهده گرفته شد."
bring to knees,"Over the past 15 years, however, a long string of management blunders, lost opportunities and sheer misfortune brought the Midland to its knees.","با این حال، طی 15 سال گذشته، رشته ای طولانی از اشتباهات مدیریتی، فرصت های از دست رفته و بدبختی محض، میدلند را به زانو درآورد."
never mind,"Never mind what you were going to do, we need to leave now!","بیخیال کاری که می خواستی انجام دهی شو، ما باید همین الان حرکت کنیم!"
in the clear,"Now I need you to back up my story and put me in the clear.","حالا از تو می خواهم که از من حمایت کنی و من را تبرئه کنی."
dead serious,"He was dead serious in class and was the one that passed the exams.","او در کلاس کاملا جدی بود و کسی بود که در امتحانات موفق شد."
caught red-handed,"He was shot by the British after being caught red handed spying FOR the Japanese.","وی پس از دستگیری در حال جاسوسی برای ژاپنی ها توسط انگلیسی ها کشته شد."
right as rain,"You just need a good night's sleep, and then you'll be right as rain again.","تو فقط به یک خواب درست و حسابی نیاز داری، و بعدش دوباره سرحال می شوی."
bad blood,"There had always been bad blood between Robert and Edward Bruce; now this was transmitted to the next generation apparently.","همیشه بین رابرت و ادوارد بروس خصومتی وجود داشت که به نظر میرسید به نسل بعدی منتقل شده است."
beats me,"It beats me how he can describe opposition to military occupation as ‘aggression’.","متوجه نمیشوم که او چطور میتواند مخالفت علیه شغل نظامی را خشونت توصیف کند."
behind closed doors,"For years Judaism was suppressed in the Soviet Union, practiced behind closed doors, and often in fear.","برای سال ها یهودیت در اتحادیه جماهیر شوروی سرکوب میشد و عموما با ترس، در خفا اجرا میشد."
on the run,"A suspected burglar is on the run after he escaped from police by jumping through a court room window.","یک سارق مظنون پس از فرار از دست پلیس با بیرون پریدن از پنجره دادگاه، در حال فرار است."
big deal,"To a 12-year-old kid, missing the bus is a pretty big deal.","برای یک بچه 12 ساله، از دست دادن اتوبوس موضوع خیلی مهمی است."
fall for something,"If you think you've fallen for one of these banking scams, please do not hesitate to contact the police.","اگر فکر میکنید که گول یکی از کلاهبرداری های بانکی را خورده اید، لطفا در اسرع وقت با پلیس تماس بگیرید."
fall on deaf ears,"Pleas from the Prince of Wales for corporate help to rebuild the inner cities has fallen on deaf ears.","درخواست های شاهزاده ولز برای کمک های شرکتی جهت بازسازی شهر های داخل مورد بی توجهی واقع شده است."
fill someone's shoes,"So in other words I will raise up somebody to fill my shoes I suppose.","به عبارت دیگر کسی را بزرگ میکنم که جایگزین من شود."
loose canon,"They got it wrong when they described Diana in her present state as a ‘loose cannon.’","آنها وقتی دیانا را در وضعیت فعلی اش یک آدم دردسرساز توضیف کردند، اشتباه کردند."
play  joke,"He suddenly thought of using it to play a joke on some of his friends at the Post.","او ناگهان به این فکر کرد که از آن برای شوخی با دوستانش در اداره پست استفاده کند."
early bird,"The comedian is also among the personalities on Channel 4's The Big Breakfast show for early birds, launched yesterday.","این کمدین همچنین یکی از شخصیت‌های برنامه صبحانه بزرگ شبکه ۴ برای سحرخیزان است که دیروز راه‌اندازی شد."
pull the plug,"The banks have the power to pull the plug on the project.","بانک ها این قدرت را دارند که پروژه را خاتمه دهند."
send shiver's down one's spine,"The nightmare of being wrongly accused of a crime certainly sends shivers down my spine.","کابوس اشتباها متهم شدن به یک جنایت مطمئنا من را خیلی میترساند."
in a nutshell,"In a nutshell, it is wasteful to spend too much money preventing waste.","به صورت خلاصه صرف هزینه بالا برای جلوگیری از اسراف، اسراف است."
cold blood,"The Kashmiri police say he was taken into custody as a suspect and tortured in cold blood.","پلیس کشمیر میگوید که او به عنوان یک مظنون دستگیر و به صورت بی رحمانه ای شکنجه شد."
wear one's heart on one's sleeve,"Because you wear your heart on your sleeve so everyone knows how you are.","چون تو احساساتت را به راحتی نشان میدهی و همه میدانند که چطور آدمی هستی."
come to a head,"The dispute came to a head in May 1856, when Pennethorne refused to help Hunt to prepare a report on the state of Pennethorne's various jobs.","نزاع آنها در مه 1856، هنگامیکه پنتورن از کمک به هانت برای تهیه گزارشی در مورد وضعیت اشغال مختلف پنتورن خودداری کرد به اوج خود رسید."
nick of time,"With repairs completed in the nick of time she sailed for the operation with her crew.","با اتمام تعمیرات در دقیقه نود، او با خدمه اش برای عملیات حرکت کرد."
in the wake,"There have been demonstrations on the streets in the wake of the recent events.","در پی اتفاقات اخیر، تظاهراتی در خیابان ها برگزار شده است."
out of hand,"And she was equally furious with herself for letting things get so out of hand.","او به همان اندازه از خودش به خاطر اینکه اجازه داده بود چیز ها انقدر از کنترل خارج شوند عصبانی بود."
give the cold shoulder,"The office staff gave me the cold shoulder when I did not go to the office party.","کارکنان شرکت بعد از اینکه به مهمانی شرکت نرفتم به من بی محلی کردند."
go out on a limb,"I'm going to go out on a limb and approve his request for additional funding.","من دارم ریسک میکنم و با درخواست او برای بودجه اضافه موافقت میکنم."
drop the ball,"The government has dropped the ball and should have seen this coming.","دولت سهل انگاری کرد و باید این موضوع را پیش بینی میکرد."
drop the ball,"She really dropped the ball when she forgot to call back.","او واقعا با زنگ نزدن اشتباه بزرگی کرد."
pitch in,"As his medical expenses kept increasing, his entire family pitched in so that he could carry on his treatment.","با افزایش هزینه های درمان او، تمام خانواده اش مشارکت کردند تا بتواند درمانش را ادامه دهد."
pull someone's leg,"Is it really your car or are you pulling my leg?","آیا این ماشین واقعا برای تو است یا داری با من شوخی میکنی؟"
pipe down,"She told the children to pipe down while she was talking on the telephone.","او به بچه ها گفت که وقتی دارد با تلفن صحبت میکند آرام باشند."
play devil's advocate,"The plan is good, but I’ll play devil’s advocate so that we know what the opposition can say.","این نقشه خوبی است اما من وانمود می کنم که با آن مخالف هستم تا بدانیم مخالفان چه می توانند بگویند."
play it safe,"I decided to play it safe and leave early so that I would be sure to arrive on time.","تصمیم گرفتم که احتیاط کنم و زود حرکت کنم تا مطمئن باشم که سر وقت میرسم."
leave no stone unturned,"He left no stone unturned in his search for his mother.","او هر کاری که میتوانست را برای پیدا کردن مادرش انجام داد."
let someone off the hook,"John's agreed to go to the meeting in my place so that lets me off the hook.","جان موافقت کرد که به جای من به جلسه برود و من را از مخمصه نجات داد."
lose touch,"I've lost touch with all my old friends from school.","من ارتباطم را با همه دوستان قدیمی مدرسه از دست داده ام."
on top of the world,"People who believe in the ancient Chinese art of Chi - Dynamics say it 'll make you feel on top of the world.","افرادی که به هنر باستانی چینی چی‌-دینامیک اعتقاد دارند، می‌گویند که این هنر باعث می‌شود احساس فوق‌العاده‌ای داشته باشید."
add insult to injury,"People were forced to work longer hours, and to add insult to injury, the company decided not to give pay raises.","مردم مجبور شدند که ساعات بیشتری کار کنند و تصمیم شرکت برای افزایش ندادن حقوق آنها، اوضاع را بدتر کرد."
make up one's mind,"I can't make up my mind where to spend my holidays.","نمیتوانم تصمیم بگیرم که کجا تعطیلاتم را بگذرانم."
a night owl,"You can’t just become a night owl and hope to catch up on the years that you have missed your education.","نمی‌توانی یکدفعه شب‌زنده‌دار شوی و امیدوار باشی که سال‌هایی را که از تحصیلت عقب مانده‌ای جبران کنی."
nail,"He had one chance to do the job and he nailed it.","او یک شانس برای انجام آن کار داشت و آن را به بهترین صورت انجام داد."
bend over backwards,"we have bent over backwards to ensure a fair trial for the defendants.","ما همه تلاشمان را برای تضمین یک محاکمه عادلانه برای مضنونین انجام دادیم."
bite the bullet,"Decisions have to be taken, and as director you have got to bite the bullet.","تصمیم ها باید گرفته شوند و به عنوان مدیر، گرفتن تصمیم های سخت بر عهده شماست."
bite your tongue,"I know you want to yell at him, but you'll just have to bite your tongue.","میدانم که میخواهی سرش داد بزنی اما باید سکوت کنی."
wear off,"The injection the dentist gave me is starting to wear off.","اثر آمپولی که دندانپزشک به من زد دارد کم کم از بین میرود."
come out of the left field,"To some fans, the news may seem to have come out of left field, particularly given her previous relationships.","برای بعضی از طرافداران، این اخبار ممکن است غیرمنتظره به نظر برسد، به خصوص با توجه به روابط گذشته او."
tip one's hand,"Despite weeks of media speculation, the president refused to tip his hand about his plans for re-election.","علیرغم هفته ها گمانه زنی رسانه ها، رئیس جمهور برنامه خود را برای انتخابات فاش نکرد."
hang in there,"Their marriage was breaking apart, but the decided to hang in there and give it another chance.","ازدواجشان در سدد فروپاشی بود اما آنها تصمیم گرفتند که تحمل کنند و یک شانس دیگر به آن بدهند."
have a blast,"Last weekend, I got together with my friends and we had a blast watching comedy movies.","آخر هفته گذشته با دوستانم دور هم جمع شدیم و حسابی از تماشای فیلم‌های کمدی لذت بردیم."
take someone'sbreath away,"It was one of those moments that takes your breath away.","یکی از آن لحظات هست که تو را شگفت زده میکند."
lend a hand,"Marcia has taught her children to lend a hand when it comes to cleaning up after meals.","مارسیا به بچه هایش یاد داد که هنگام جمع کردن غذا کمک کنند."
the bottom line,"A student with special needs can stress a school's budget, but the bottom line is that the state must provide for the child's education.","یک دانضش آموز با نیاز های ویژه ممکن است بودجه یک مدرسه را تحت قشار قرار دهد، اما نکته اصلی این است که ایلت باید هزینه تحصیل آن بچه را تامین کند."
tie the knot,"Total strangers agree to tie the knot, without so much as seeing a photograph of their future spouse.","آدم های کاملا غریبه موافقت میکنند که با هم ازدواج کنند، بدون اینکه حتی تصویری از همسر آینده شان دیده باشند."
turn a blind eye,"He is investing every penny, while at the same time turning a blind eye to the needs of his growing family.","او هر پنی را سرمایه گذاری می کند و در عین حال نیازهای خانواده در حال رشد خود را نادیده میگیرد."
keep at bay,"The sheep come straight in from the damp outdoors but infection must be kept at bay.","گوسفند ها مستقیما از هوای مرطوب بیرون می آیند اما باید از عفونت جلوگیری شود."
keep at bay,"Several wolves prowled round the camp, but were kept at bay by the fire.","تعدادی گرگ در اطراف اردوگاه پرسه میزدند اما آتش آنها را دور نگه میداشت."
see red,"She sees red, however, when the slogans and other aspects of her designs are copied and bowdlerized.","با این حال، او وقتی می‌بیند شعارها و دیگر جنبه‌های طراحی‌هایش کپی و سانسور می‌شوند، به شدت عصبانی شد."
ring a bell,"The place he was talking about rang a bell but I couldn't remember where I had read about it.","مکانی که راجه به آن صحبت میکرد خیلی آنشا به نظر میرسید اما نمیتوانستم به یاد بیاورم که کجا در مورد آن خوانده بودم."
see eye to eye,"Mr. Brown and I seemed to see eye to eye about the new law and neither of us liked it.","به نظر میرسید که من و آقای براون در مورد قانون جدید هم نظر بودیم و هیچکدام از ما از آن خوشمان نمی آمد."
sleep on something,"We eventually agreed to sleep on the problem and discuss it some more the next day.","در پایان ما موافقت کردیم که امروز دیگر این مساله را کنار بگذاریم و فردا بیشتر در مورد آن بحث کنیم."
sleep on something,"It would be unwise to sleep on such an opportunity.","نادیده گرفتن چنین فرصتی هوشمندانه نیست."
spitting image,"With the help of makeup and touch-up, the actor looked the spitting image of the real life character he played in the movie.","با کمک آرایش و اصلاحات، آن بازیگر دقیقا شبیه تصویر شخصیت واقعی ای که در فیلم بازی می کرد شد."
rain on someone's parade,"I'm sorry to rain on your parade but you're not allowed to have alcohol on the premises.","از اینکه حال خوب شما را خراب می کنم متاسفم اما شما اجازه نوشیدن الکل در این مکان را ندارید."
swing by,"You should swing by your house so you can change and pack a bag.","باید یک سر به خانه ات بزنی تا لباس هایت را عوض کنی و وسایلت را جمع کنی."
sit tight,"We'll sit tight and wait for the storm to blow itself out.","ما منتظر می مانیم تا طوفان خودش فروکش کند."
know the ropes,"The chances of success are greater if the businessman knows the ropes, and also has more funds at his disposal.","احتمال موفقیت اگر تاجر کارش را بلد باشد و همچنین منابع مالی بیشتری در اختیار داشته باشد بیشتر است."
call it a day,"I searched for the cat for hours but I had to call it a day when it became dark.","ساعت ها دنبال آن گربه گشتم اما وقتی هوا تاریک شد مجبور شدم دست از کار بکشم."
hell or high water,"He confirmed that, come hell or high water, he will make his first trip to Scotland in November.","او تایید کرد که تحت هر شرایطی، او در نوامبر برای اولین بار به اسکاتلند سفر خواهد کرد."
a dime a dozen,"Websites on health and fitness are a dime a dozen nowadays, but not all of them are accurate and have correct information.","سایت‌های مربوط به سلامت و تناسب اندام امروزه فراوان هستند، اما همه آن‌ها دقیق و دارای اطلاعات درست نیستند."
beat around the bush,"Don’t beat around the bush and tell me frankly what you think of my proposition.","طفره نرو و صادقانه بگو نظرت در مورد پیشنهاد من چیست."
break a leg,"Break a leg Sam, I'm sure your performance will be great.","موفق باشی سم، مطمئنم اجرایت عالی خواهد بود."
at the drop of a hat,"I’d quit my job at the drop of a hat if I didn’t have a family to support.","اگر مجبور نبودم خانواده ام را تامین کنم بدون معطلی از کارم استعفا می دادم."
under the weather,"The twins were both feeling under the weather today, so they didn't go to school.","حال دوقلو ها امروز خوب نبود، بنابرین به مدرسه نرفتند."
burn the midnight oil,"I had to burn the midnight oil to finish my assignment on time.","باید شب تا دیروقت بیدار میماندم تا تکلیفم را به موقع تمام کنم."
Once in a blue moon,"So I have to go and visit them, but her parents come down here only once in a blue moon when they feel like it.","پس من باید بروم و آنها را ملاقات کنم اما والدین او به ندرت، هر وقت دلشان بخواهد اینجا می آیند."
at a snail's pace,"If you watch the start or the first few miles, you 'll see a mass of humanity moving along at a snail's pace.","اگر چند مایل اول را نگاه کنی گروهی از آدم ها را می بینی که با سرعت خیلی کمی حرکت می کنند."
chase rainbows,"I often sit back and think of others who never had a Derby win and who, for the remainder of their careers, will be chasing this elusive rainbow.","من باید استراحت کنم اما بعد از یک خواب کوتاه، حالم خیلی بهتر شد."
let bygones be bygones,"Although the book ended on a positive note in that the enemy's group leader tried to let bygones be bygones.","البته کتاب پایان خوبی داشت که در آن رهبر گروه دشمن تصمیم گرفت که گذشته ها را فراموش کند."
chickens come home to roost,"The chickens of the first world war are coming home to roost.","عواقب جنگ جهانی اول در حال آشکار شدن هستند."
spit feathers,"At New Scotland Yard, John McLeish was spitting feathers, as one of his staff graphically put it.","در اداره نیواسکاتلندیارد، جان مکلیش طبق توضیح یکی از کارمندانش بسیار عصبانی بود."
put the cat among the pigeons,"The captain, put the cat among the pigeons, by writing a letter, in which he advocated the abandonment of the birth qualification.","کاپیتان با نوشتن نامه‌ای که در آن از کنار گذاشتن شرط زاد و ولد حمایت کرده بود، افراد زیادی را عصبانی کرد."
drown your sorrows,"Drinking on your own or to drown your sorrows can get out of hand.","نوشیدن به تنهایی برای انیکه غم هایت را فراموش کنی می تواند از کنترل خارج شود."
mend fences,"The only thing she could do now was find Ana and mend a few fences.","تنها کاری که می تواند انجام دهد این است که آنا را پیدا کند و رابطه اش را با او ترمیم کند."
wither on the vine,"Eventually the Committee was to wither on the vine; its last reference resulting in the Committee's Eighteenth Report.","در نهایت کمیته به تدریج از بین رفت و آخرین ارجاع آن منجر به هجدهمین گزارش کمیته شد."
for donkey's years,"Men and women have been choosing and wearing black for donkey's years.","برای مدت طولانی، زنان و مردان لباس های سیاه را انتخاب کرده و پوشیده اند."
ruffle someone's feathers,"Not that we 've got anything against the group, but certain other guests would have ruffled our feathers.","اینطور نیست که کینه ای علیه آن گروه داشته باشیم اما بعضی مهمانان دیگر ممکن است اعصاب ما را به هم بریزند."
sail under false colours,"Still, he feels that the waiters know that he comes from Dearborn and they can see that is sailing under false colours.","با اینحال احساس می کند که گارسون ها می دانند که او از دیربورن آمده و دارد ظاهرسازی می کند."
a hair's breadth,"The cutting edge of his sword was a hair's breadth from Barakai's forehead.","لبه برنده شمشیر او فاصله بسیار کمی با پیشانی باراکی داشت."
beggars can't be choosers,"Even though it was nowhere near as large as Leith's present flat, she was in a beggars can't be choosers situation.","با اینکه به هیچ عنوان به بزرگی آپارتمان فعلی لیث نبود، او در موقعیتی بود که چاره دیگری نداشت."
beat the daylights out of,"After months of tension, Jake finally snapped and threatened to beat the daylight out of anyone who crossed him again.","بعد از ماه‌ها تنش، جیک بالاخره عصبانی شد و تهدید کرد که هر کسی که دوباره از حد خودش بگذرد را به شدت کتک می‌زند."
cast pearls before swine,"I'm afraid you're casting pearls before swine with your good advice because he won't listen.","متاسفانه فکر کنم داری نوحه تو گوش خر می خونی چون او به حرف هایت گوش نخواهد داد."
dead as a doornail,"Another day and they'd have been as dead as doornails.","اگر یک روز دیگر بگذرد آنها کاملا می میرند."
lick someone's boots,"When they're not being rude and indifferent they 're licking your boots and telling you what they think you want to hear.’","وقتی که بی ادبی و بی اعتنایی نمی کنند، از تو الکی تعریف می کنند و چیز هایی را می گویند که فکر می کنند می خواهی بشنوی."
kill the goose that lays the golden eggs,"High taxes kill the goose that lays the golden eggs.","مالیات های زیاد منابع درامدی بزرگ را از بین می برند."
spare someone's blushes,"I thought the best thing to do was spare Oliver's blushes, so I murmured something about getting off to work.","فکر کردم که بهترین کار این است که اولیور را خجالت زده نکنم، پس زیر لب چیزی در مورد رفتن به سرکار گفتم."
make a move,"you made a few wrong moves yourself, so this muddle is partly your fault too.","تو هم چند حرکت اشتباه انجام دادی پس این وضعیت آشفته تا حدودی تقصیر تو هم هست."
get the picture,"If I tell you she is known by some here as ‘ Aunty’ Muriel, you may get the picture.","اگر بهت بگویم که بعضی ها اینجا او را به عنوان عمه موریل میشناسند شاید متوجه وضعیت بشی."
in my book,"It's obvious that refs and players still need to have this law more clearly defined because that indirect free kick was, in my book, totally unnaccaptable.","کاملا مشخص است که داور ها و بازکنان باید این قانون را به صورت شفافتری تعریف کنند چون این شوت غیرمستقیم از نظر من کاملا غیرقابل قبول بود."
on the same page,"It's important for parents to be on the same page when it comes to disciplining their children.","مهم است که والدین در تربیت فرزندانشان هم نظر باشند."
look the other way,"Naturally the criminals also looked the other way as it was in their interest to.","طبیعتا مجرمان هم چون به نفعشان بود خود را به نفهمی زدند."
for the time being,"After half an hour or so he was happy that the fault had been corrected — for the time being.","بعد از تقریبا نیم ساعت اون خوشحال بود که فعلا مشکل حل شده است."
out of this world,"And though he's anti - hospital, his manners are out of this world.","و با اینکه او مخالف بیمارستان است، آداب و معاشرتش فوق‌العاده است."
by the book,"So when faced with payment increase demands in some public, services Chancellor Denis Healey did not print the extra money but went strictly by the book.","بنابراین، زمانی که با درخواست‌های افزایش حقوق در برخی خدمات عمومی روبرو شد، وزیر دارایی دنیس هیلی پول اضافی چاپ نکرد بلکه دقیقا طبق قوانین عمل کرد."
live up to,"The concert was brilliant and lived up to all our expectations.","کنسرت عالی بود و همه انتظارات ما را براورده کرد."
as good as new,"Here's how to repair, and to make your book look as good as new.","به این صورت می تواند کتاب خود را تعمیر و مانند روز اولش کنید."
laugh all the way o the bank,"I don't know if they 're laughing all the way to the bank, but they can certainly afford to get there in a cab.","نمی دانم که وضعیت مالی آنها خوب است یا نه اما قطعا می توانند با تاکسی به آنجا بروند."
on a roll,"It isn't just the brilliant new Twingo that says Renault is on a roll.","فقط تویینگوی جدید و فوق‌العاده نیست که موج موفقیت رنو را نشان می دهد."
word of the mouth,"We knew it could work but we needed a better location and a lot of word of mouth.","می دانستیم که می توانست جواب دهد اما به یک مکان بهتر و تبلیغات شفاهی احتیاج داشتیم."
slip through the net,"The few who slip through the net will be denied legal aid to argue their case.","تعداد کمی که از دستشان در برود، از دریافت کمک حقوقی برای دفاع از پرونده‌شان محروم خواهند شد."
on a silver platter,"I'm not saying it's hard work, like working on a farm, but they certainly don't give everything to you on a silver platter.","نمی گویم که اینکار ماند کار کردن در مزرعه سخت است، اما قطعا اینطور نیتس که همه چیز را بدون زحمت به تو بدهند."
on the wrong foot,"Their relationship started off on the wrong foot when they had a huge misunderstanding.","رابطه آنها به خاطر سوتفاهم بزرگی که پیش آمد شروع خوبی نداشت."
good samaritan,"A police inspector saw the alleged killer of Marie Wilks but dismissed him as a good Samaritan.","یک بازرس پلیس خارج از خدمت، قاتل احتمالی ماری ویکس را دیده، اما او را به عنوان یک فرد دلسوز نادیده گرفته است."
turn the tables,"While he might have dismissed her, Vitor appeared to find it disconcerting that she should turn the tables and dismiss him.","با اینکه احتمالا او را نادیده گرفته بود، به نظر می رسید ویتور از اینکه او ممکن است ورق را به نفع خودش برگرداند و او را نادیده بگیرد نگران است."
pull a face,"He stuffed the bundle of papers into his pocket and pulled a face, as if the toothpick was causing him some sort of pain.","او دسته ای از کاغذ ها را در جیبش چپاند و صورتش را در هم کشید، انگار که خلال دندان دارد به نوعی به او آسیب می رساند."
bread and circuses,"So with football and politics as the bread and circuses of our decadent empire — whither religion?","میدانی این بخشی از آموزه های مسیحیت است که اگر بچه را تنبیه فیزیکی نکنی، لوس بار می آید."
armed to the teeth,"The art of modern warfare does not necessarily require soldiers to be armed to the teeth to be effective as combatants.","هنر جنگ مدرن لزوماً نیازی ندارد که سربازان برای مؤثر بودن در نبرد تا دندان مسلح باشند."
take a back seat,"Foreign policy will take a back seat while Clinton sorts out domestic problems.","سیاست خارجه تصمیم گرفت که کاری نکند تا کلینتون مشکلات داخلی را حل کند."
play into someone's hand,"Almost everything she did played right into Alain's hands.","تقریباً هر کاری که او انجام می‌داد، کاملاً به نفع آلین تمام می‌شد."
it's all greek to me,"It's all Greek to me, but so long as it keeps him happy.","خب، برای من کاملاً نامفهوم است، اما تا وقتی که او را خوشحال می‌کند، مشکلی نیست."
on coud nine,"The whole soccer team was on cloud nine after winning the championship.","کل تیم فوتبال پس از قهرمانی در اوج شادی و خوشحالی بودند."
play ball,"The family wanted a full-time nurse but the insurance company refused to play ball.","آن خانواده یک پرستار تمام وقت می خواستند اما شرکت بیمه با آنها همکاری نکرد."
put words someone's mouth,"When he spoke, it was almost as if they had put the words in his mouth.","وقتی که صحبت می کرد، تقریبا به نظر می رسید که حرف در دهانش گذاشته اند."
at death's door,"For several days he was at death's door, and a grave had been kept ready in case the worst happened.","او برای چندین روز در آستانه مرگ بود و یک قبر برای حالتی که بدترین اتفاق بیوفتد آماده نگه داشته شده بود."
breath down someone's neck,"I don't trust you and I will be breathing down your neck next time you pick up a phone.","من بهت اعتماد ندارم و دفعه بعد که تلفن را برمی داری تمام حرکاتت را تحت نظر خواهم داشت."
foot the bill,"The new lender will need to ascertain the current value of your property and, inevitably, you will have to foot the bill.","وام‌دهنده جدید باید ارزش فعلی ملک شما را تعیین کند و شما ناچارید که هزینه آن را بپردازید."
take someone's word for it,"I know that many of you might doubt that, but I hope you will take my word for it","می دانم که ممکن است به آن شک کنید اماامیدوارم که در این مورد به من اعتماد کنید."
squeaky clean,"I don't suppose your behaviour has been all bright and squeaky clean since you got married.","تصور نمی کنم که رفتار تو هم از وقتی که ازدواج کردی کاملا عالی و بی نقص بوده است."
watch your back,"Whatever the case, watch your back with Connelly's boys.","در هر صورت، حواست به پسران کانلی باش."
separate the wheat from the chaff,"This gives the courts a useful power to separate the wheat from the chaff among the pending cases.","این به دادگاه این قدرت مفید را می دهد که در میان پرونده های بلاتکلیف، موارد مهم را از موارد بی اهمیت تشخیص دهد."
caught between a rock and a hard place,"She was caught between a rock and a hard place — with no obvious way out.","او بین دو تصمیم سخت گیر افتاده بود و هیچ راه واضحی برای خروج نداشت."
a few screws loose,"Her brother definitely has a screw loose and I don't really trust him.","برادر او مطئمنا کمی مشکل روانی دارد و من واقعا به او اعتماد ندارم."
go ballistic,"If your dad finds out you've been skipping school, he'll go ballistic.","اگر پدرت متوجه شود که به مدرسه نمی روی به شدت عصبانی خواهد شد."
rain cats and dogs,"An umbrella is useful in a mild rain, but when it rains cats and dogs an umbrella is of little help.","چتر برای بارندگی ملایم مفید است اما وقتی باران سیل آسا می بارد، کمک چندانی نمی کند."
make light work of,"The hay had been cut a few days before and dried in the sun and Frederick made light work of heaving it up to Albert on the cart.","علوفه ها از چند روز قبل چیده و در آفتاب خشک شده بودند و فردریک به راحتی آنها را آلبرت که روی گاری بود پرتاب کرد."
